stop_name,stop_id,shu
大甲（交通局）,TRD_036,C
日南,TRD_035,C
清水,TRD_038,C
甲南,TRD_037,C
后里（交通局）,TRD_051,C
大安,TRD_050,C
豐原（交通局）,TRD_052,C
沙鹿,TRD_039,C
龍井,TRD_040,C
潭子,TRD_053,C
彰化（交通局）,TRD_057,C
大肚,TRD_041,C
追分,TRD_042,C
王田,TRD_056,C
烏日,TRD_055,C
臺中（交通局）,TRD_054,C
員林（交通局）,TRD_059,C
唭里岸,TRD_130,A
士林,TRD_129,A
七堵,TRD_003,A
八堵,TRD_002,A
暖暖,TRD_087,A
基隆,TRD_001,A
宮ノ下,TRD_128,A
圓山,TRD_127,A
雙連,TRD_126,A
大正街,TRD_125,A
臺北,TRD_008,A
南港,TRD_006,A
松山,TRD_007,A
板橋,TRD_010,A
萬華,TRD_009,A
竹北,TRD_022,B
楊梅,TRD_018,B
外澳,TRD_099,A
頭圍,TRD_100,A
香山,TRD_024,B
新竹,TRD_023,B
四結,TRD_102,A
礁溪,TRD_101,A
竹南,TRD_026,B
羅東,TRD_105,A
二結,TRD_104,A
公司寮,TRD_030,B
後龍,TRD_029,B
大山脚,TRD_028,B
北勢（交通局）,TRD_044,B
造橋,TRD_043,B
淡文湖,TRD_027,B
冬山,TRD_106,A
新城（交通局）,TRD_107,A
蘇澳（交通局）,TRD_108,A
白沙屯,TRD_031,B
新埔,TRD_032,B
苗栗,TRD_045,B
南勢,TRD_046,B
通霄,TRD_033,B
苑裡,TRD_034,B
銅鑼,TRD_047,B
三叉,TRD_048,B
淡水,TRD_133,A
新北投,TRD_124,A
北投,TRD_123,A
江頭,TRD_131,A
平鎮,TRD_017,B
中壢,TRD_016,B
崁子脚,TRD_015,B
桃園,TRD_014,B
鶯歌,TRD_013,A
山子脚,TRD_012,A
樹林,TRD_011,A
大里,TRD_096,A
大溪,TRD_097,A
田中（交通局）,TRD_061,C
社頭,TRD_060,C
林內,TRD_063,D
斗南（交通局）,TRD_065,D
斗六（交通局）,TRD_064,D
大林（交通局）,TRD_066,D
民雄,TRD_067,D
嘉義（交通局）,TRD_068,D
後壁,TRD_070,D
水上（交通局）,TRD_069,D
新營（交通局）,TRD_071,D
林鳳營,TRD_072,D
番子田（交通局）,TRD_073,D
善化,TRD_074,D
永康,TRD_076,D
新市,TRD_075,D
車路墘,TRD_078,D
臺南,TRD_077,D
大湖,TRD_080,E
中洲（交通局）,TRD_079,D
路竹,TRD_081,E
橋子頭,TRD_083,E
岡山,TRD_082,E
楠梓,TRD_084,E
舊城,TRD_085,E
高雄,TRD_086,E
屏東（交通局）,TRD_114,E
六塊厝,TRD_113,E
鳳山（交通局）,TRD_110,E
後庄,TRD_111,E
九曲堂（交通局）,TRD_112,E
竹田,TRD_116,E
潮州（交通局）,TRD_117,E
溪州（交通局）,TRD_118,E
西勢,TRD_115,E
二水,TRD_062,C
花壇,TRD_058,C
宜蘭,TRD_103,A
汐止,TRD_005,A
北臺北,TRD_203,A
新起町,TRD_202,A
江子翠,TRD_201,A
浮洲,TRD_200,A
五堵,TRD_004,A
北五堵,TRD_204,A
伯公岡,TRD_019,B
三湖,TRD_211,B
湖口,TRD_020,B
波羅汶,TRD_210,B
山崎,TRD_021,B
斗崙,TRD_209,B
香山坑,TRD_208,B
內湖,TRD_207,B
崎頂,TRD_025,B
山寮,TRD_206,B
尖山,TRD_205,B
十六份,TRD_049,B
老松町,TRD_212,C
學田,TRD_213,C
遊園地前,TRD_214,C
大村,TRD_216,C
永靖,TRD_215,C
東門町,TRD_219,D
試驗所前,TRD_218,D
三塊厝（交通局）,TRD_109,E
山下町,TRD_217,E
四脚亭,TRD_088,A
瑞芳,TRD_089,A
猴硐,TRD_090,A
三貂嶺,TRD_091,A
武丹坑,TRD_092,A
頂雙溪,TRD_093,A
貢寮庄,TRD_094,A
澳底,TRD_095,A
龜山,TRD_098,A
十分寮,TRD_119,A
嶺脚寮,TRD_120,A
石底,TRD_121,A
菁桐坑,TRD_122,A
鼻仔頭,TRD_134,C
濁水（交通局）,TRD_135,C
隘寮,TRD_136,C
集集,TRD_137,C
水裡坑,TRD_138,C
外車埕,TRD_139,C
竹圍（交通局）,TRD_132,A
花蓮港（交通局）,TRD_300,G
田浦,TRD_301,G
吉野,TRD_302,G
初音,TRD_303,G
賀田,TRD_304,G
壽,TRD_306,G
豐田,TRD_307,G
溪口（交通局）,TRD_308,G
平林,TRD_309,G
林田,TRD_310,G
鳳林,TRD_311,G
萬里橋,TRD_312,G
上大和,TRD_313,G
大和,TRD_314,G
白川,TRD_315,G
瑞穗,TRD_316,G
三笠,TRD_317,G
末廣,TRD_318,G
玉里,TRD_319,G
安通,TRD_320,G
東部大里,TRD_321,G
東部竹田,TRD_322,G
富里,TRD_323,G
池上,TRD_324,F
新武呂,TRD_325,F
關山,TRD_326,F
月野,TRD_327,F
大原,TRD_329,F
大埔（交通局）,TRD_328,F
鹿野,TRD_330,F
稻葉,TRD_331,F
初鹿,TRD_332,F
馬蘭,TRD_334,F
臺東（交通局）,TRD_335,F
日奈敷,TRD_333,F
蘇澳（東海バス）,TKB_001,A
花蓮港（東海バス）,TKB_005,G
新城（東海バス）,TKB_004,G
タロコ口,TKB_003,G
南澳,TKB_002,A
潮州（南廻バス）,TTB_002,E
臺東（南廻バス）,TTB_001,F
嘉義（營林所）,TFO_017,D
北門,TFO_015,D
榮町,TFO_016,D
盧厝,TFO_014,D
灣橋,TFO_012,D
崎下,TFO_013,D
朴子埔,TFO_011,D
鹿麻產,TFO_010,D
竹崎,TFO_008,D
新竹崎,TFO_009,D
交力坪,TFO_007,D
奮起湖,TFO_006,D
十字路,TFO_005,D
二萬平,TFO_004,D
阿里山,TFO_003,D
兒玉,TFO_002,C
新高口,TFO_001,C
洲子,TWS_005,E
溪埔,TWS_006,E
嶺口,TWS_009,E
溪州（臺灣製糖）,TWS_012,E
旗山,TWS_016,E
旗尾,TWS_018,E
中坛,TWS_019,E
牛埔,TWS_020,E
美濃,TWS_021,E
竹頭角,TWS_023,E
大樹,TWS_004,E
龍目,TWS_003,E
九曲堂（臺灣製糖）,TWS_001,E
林子邊,SHS_009,E
潭頭,SHS_008,E
赤崁,SHS_007,E
潮州寮,SHS_006,E
大寮,SHS_005,E
會社,SHS_004,E
山子頂,SHS_003,E
電信所,SHS_002,E
西門,TWS_035,E
